Index,Date_P##,Power1,Power2,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five,Thirty,BC10,BC11,BC12,BC13,BC14,BC15,BC16,BC17,BC18
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0408_P17,-20,-10,-15,-20,-15,-20,-15,-5,0,-5,-5,-15,-15,-10,-10,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,105,82,164,279,309,191,199,183,244,264,170,260,198,155,133,,,,,,,,,,,,,,
OP End Frame,,1400,800,3000,3000,2000,1750,2500,1400,1200,2000,1800,1700,1300,1100,1750,,,,,,,,,,,,,,
MA Peak Threshold,,30,30,30,30,30,25,35,50,35,40,45,30,30,40,40,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,926,747,865,735,683,665,561,446,1038,776,752,934,460,813,742,,,,,,,,,,,,,,
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0408_P18,-10,-10,-11,-15,-15,-10,-10,-15,-15,NA,-15,-15,-10,-5,-10,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,96,91,173,281,323,177,198,162,169,NA,170,173,48,198,187,,,,,,,,,,,,,,
OP End Frame,,800,800,3000,3000,2000,1800,2000,1200,1500,NA,1300,1500,750,1150,900,,,,,,,,,,,,,,
MA Peak Threshold,,30,30,30,30,25,30,35,30,35,NA,30,35,30,40,40,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,NA,10,10,10,100,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,592,609,755,821,922,655,941,662,669,NA,646,850,183,1242,650,,,,,,,,,,,,,,
,,Power1 - L,Power2 - R,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0411_P19,-25,-10,-10,-10,-10,-10,-15,-10,-10,-10,-10,-10,0,-10,-10,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,73,74,166,307,274,87,332,295,119,149,217,138,535,220,143,,,,,,,,,,,,,,
OP End Frame,,800,1200,2100,3000,2100,1900,2100,1600,1550,1500,1300,2000,2000,1800,2100,,,,,,,,,,,,,,
MA Peak Threshold,,10,20,20,18,20,20,20,15,20,20,10,20,20,15,15,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,698,530,706,843,542,616,489,605,475,993,552,525,695,590,572,,,,,,,,,,,,,,
,,Power1 - L,Power2 - R,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0412_P20,0,-10,-5,0,-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
OP Index 3rd Peak,,87,82,166,299,267,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
OP End Frame,,1100,850,3000,2500,2100,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
MA Peak Threshold,,40,40,40,45,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
MA Index 3rd Peak,,535,1046,683,1022,1147,702,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0412_P21,-20,-20,-20,-15,-10,-5,-20,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
OP Index 3rd Peak,,76,43,138,276,323,148,223,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
OP End Frame,,800,800,2000,3000,2000,2000,1200,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
MA Peak Threshold,,25,25,20,30,40,40,30,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
MA Index 3rd Peak,,874,735,544,1674,1491,689,627,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,
,,Power1 - L,Power2 - R,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0413_P22,0,-10,-10,-5,-10,-5,0,-10,-10,-10,0,-10,-10,0,NA,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,,,,,,,,,,,,,,
OP Index 3rd Peak,,130,121,187,258,282,143,82,116,109,93,14,12,18,16,NA,,,,,,,,,,,,,,
OP End Frame,,1200,800,3000,3000,2000,2500,1650,1850,800,1500,2000,1500,1100,1400,NA,,,,,,,,,,,,,,
MA Peak Threshold,,50,50,50,50,50,50,50,50,50,50,40,50,50,50,NA,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,,,,,,,,,,,,,,
MA Index 3rd Peak,,881,504,734,775,1509,682,618,551,497,393,396,435,346,204,NA,,,,,,,,,,,,,,
,,Power1 - L,Power2 - R,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0420_P23,-20,NA,-15,-20,-15,-10,-5,-15,-15,-10,-10,-15,10,-10,-10,,,,,,,,,,,,,,
OP Distance Between,,10,NA,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,84,NA,181,248,291,193,92,120,183,117,150,144,56,338,23,,,,,,,,,,,,,,
OP End Frame,,800,NA,3000,3000,2000,2000,2100,1300,1500,850,1400,1100,1550,1550,1500,,,,,,,,,,,,,,
MA Peak Threshold,,35,NA,30,30,30,30,40,40,40,40,40,40,45,40,40,,,,,,,,,,,,,,
MA Distance Between,,10,NA,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,793,NA,680,902,632,689,572,1177,573,640,680,464,611,511,207,,,,,,,,,,,,,,
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
